order_id,order_date,customer_id,store_id,product_id,quantity,discount,sales,profit,cost,product_name,unit_price,product_category,product_subcategory,store_region,store_city,customer_region,calculated_sales,calculated_profit
O17,2024-02-07,C2,S196,P441,1,5,122.25,27.1,100.155,Sweatpants,128.68,Apparel,C,East,New York,East,123.68,22.1
O18,2022-07-17,C6470,S132,P5,1,0,149.51,51.06,98.45,Smartwatch,149.51,Electronics,B,East,New York,East,149.51,51.06
O19,2024-05-26,C3814,S24,P493,5,0,879.77,152.77,145.4,Yogurt Cup,175.95,Grocery,B,East,New York,Midwest,879.75,734.37
O20,2024-02-05,C7490,S167,P413,1,10,109.48,20.88,98.45,Gaming Console,121.65,Electronics,C,Midwest,Chicago,Midwest,111.65,11.03
O21,2022-07-14,C7482,S102,P320,3,0,280.54,80.47,66.69,Curtains,93.51,Home,B,Midwest,Chicago,South,280.53,213.85
O22,2023-11-19,C6659,S189,P415,5,5,88.19,31.91,11.85,Eggs Pack,18.57,Grocery,C,East,New York,South,87.85,76.34
O23,2022-03-25,C4109,S110,P407,4,0,541.42,140.8,100.155,Dress,135.35,Apparel,C,West,San Jose,,541.4,441.26
O24,2023-09-17,C7765,S37,P305,2,5,227.1,40.05,98.45,Smartwatch,119.53,Electronics,B,West,San Jose,South,234.06,128.65
O25,2022-01-18,C4017,S179,P51,5,20,619.5,218.88,100.155,Sneakers,154.87,Apparel,A,East,New York,South,754.35,519.34
O26,2022-08-01,C6658,S35,P38,2,10,271.28,58.89,117.995,Spice Mix,150.71,Grocery,B,West,San Jose,Midwest,291.42,153.28
O27,2022-02-13,C4608,S197,P413,3,0,440.02,144.67,98.45,Gaming Console,146.67,Electronics,C,Midwest,Chicago,West,440.01,341.57
O28,2023-05-05,C7149,S173,P37,4,20,231.46,58.53,54.04,WiFi Router,72.33,Electronics,B,Midwest,Chicago,South,269.32,177.42
O29,2022-06-08,C5868,S114,P130,5,0,609.55,177.45,86.42,Floor Lamp,121.91,Home,C,West,San Jose,West,609.55,523.13
O30,2024-07-15,C3395,S189,P67,1,5,129.02,33.87,100.155,Winter Jacket,135.81,Apparel,A,East,New York,West,130.81,28.87
O31,2024-08-23,C601,S109,P162,4,0,1095.73,299.85,198.97,Dress,273.93,Apparel,B,South,Dallas,Midwest,1095.72,896.76
O32,2022-02-19,C6811,S164,P32,5,0,671.2,170.43,100.155,Formal Shirt,134.24,Apparel,A,South,Dallas,South,671.2,571.05
O33,2024-06-03,C5473,S181,P330,2,5,34.91,11.1,12.53,WiFi Router,18.37,Electronics,A,Midwest,Chicago,South,31.74,22.38
O34,2023-08-21,C7166,S190,P260,4,5,479.25,150.85,86.42,Floor Lamp,126.12,Home,A,West,San Jose,,499.48,392.83
O35,2022-04-28,C6477,S72,P417,3,20,423.65,140.46,117.995,Fruit Juice,176.52,Grocery,B,South,Dallas,South,509.56,305.65
O36,2024-05-16,C165,S149,P360,4,0,501.62,155.94,86.42,Dish Rack,125.4,Home,A,East,New York,Midwest,501.6,415.2
O37,2024-09-17,C2360,S91,P15,3,5,367.68,121.39,86.42,Floor Lamp,129.01,Home,C,West,San Jose,South,382.03,281.26
O38,2024-05-12,C1778,S108,P3,5,0,602.06,121.31,96.15,Jeans,120.41,Apparel,C,West,San Jose,West,602.05,505.91
O39,2024-08-22,C5644,S142,P393,1,10,120.91,32.3,98.45,Bluetooth Speaker,134.34,Electronics,B,East,New York,South,124.34,22.46
O40,2024-05-09,C348,S138,P359,1,20,109.29,29.16,100.155,Dress,136.61,Apparel,B,South,Dallas,Midwest,116.61,9.14
O41,2022-10-07,C3480,S144,P166,3,10,385.25,119.44,98.45,Laptop,142.69,Electronics,A,South,Dallas,South,418.07,286.8
O42,2022-01-12,C4838,S174,P415,3,0,47.63,12.08,11.85,Eggs Pack,15.88,Grocery,C,South,Dallas,East,47.64,35.78
O43,2022-09-26,C2789,S101,P221,5,5,533.31,122.82,86.42,Toaster,112.28,Home,B,East,New York,South,556.4,446.89
O44,2023-08-09,C5356,S10,P249,3,5,404.11,67.83,117.995,Yogurt Cup,141.79,Grocery,A,Midwest,Chicago,West,420.37,286.12
O45,2022-05-27,C5448,S158,P336,1,10,81.36,22.17,65.76,WiFi Router,90.4,Electronics,C,South,Dallas,East,80.4,15.6
O46,2024-07-18,C3531,S45,P161,2,10,16.2,5.7,5.83,Sweatpants,9,Apparel,B,East,New York,Midwest,8,10.37
O47,2024-06-18,C4919,S88,P99,1,0,190.47,51.76,138.71,Curtains,190.47,Home,C,West,San Jose,South,190.47,51.76
O48,2023-05-23,C1138,S134,P322,4,0,959.82,222.74,184.27,Smartphone,239.95,Electronics,A,West,San Jose,South,959.8,775.55
O49,2024-06-30,C4249,S81,P298,1,5,130.57,48.47,86.42,Mattress Topper,137.44,Home,C,West,San Jose,South,132.44,44.15
O50,2022-05-13,C4986,S114,P490,4,0,275.34,88.54,46.7,Vacuum Cleaner,68.83,Home,C,West,San Jose,Midwest,275.32,228.64
O51,2024-02-27,C5891,S138,P204,4,0,831.89,292.53,134.84,Peanut Butter,207.97,Grocery,A,South,Dallas,East,831.88,697.05
O52,2022-10-04,C6618,S102,P448,5,20,516.93,116.31,100.155,Shorts,129.23,Apparel,C,Midwest,Chicago,East,626.15,416.78
O53,2023-01-14,C3100,S40,P429,4,20,433.15,156.61,86.42,Coffee Maker,135.36,Home,B,West,San Jose,East,521.44,346.73
O54,2022-03-06,C7346,S93,P420,4,5,476.76,148.36,86.42,Cookware Set,125.46,Home,B,South,Dallas,Midwest,496.84,390.34
O55,2022-11-27,C1212,S70,P91,2,10,250.4,87.82,90.32,Floor Lamp,139.11,Home,A,South,Dallas,Midwest,268.22,160.08
O56,2024-05-01,C277,S0,P266,3,10,517.86,126.12,145.09,LED Monitor,191.8,Electronics,B,Midwest,Chicago,East,565.4,372.77
O57,2022-07-04,C884,S92,P489,1,10,120.93,30.79,100.155,Jeans,134.37,Apparel,C,East,New York,East,124.37,20.78
O58,2024-07-18,C5997,S58,P169,2,0,253.93,81.09,86.42,Toaster,126.97,Home,B,West,San Jose,South,253.94,167.51
O59,2023-01-16,C7524,S105,P8,3,5,424.57,87.13,118.4,Milk Carton,148.97,Grocery,B,South,Dallas,Midwest,441.91,306.17
O60,2022-05-10,C5944,S183,P364,1,0,107.44,21.02,86.42,Blender,107.44,Home,B,West,San Jose,Midwest,107.44,21.02
O61,2024-07-27,C2114,S190,P115,1,10,205.43,67.09,153.71,Shorts,228.25,Apparel,C,West,San Jose,Midwest,218.25,51.72
O62,2022-10-15,C7062,S7,P413,5,20,554.12,160.32,98.45,Gaming Console,138.53,Electronics,C,South,Dallas,South,672.65,455.67
O63,2023-11-29,C6904,S162,P238,4,5,641.55,123.38,136.36,Wireless Earbuds,168.83,Electronics,C,East,New York,Midwest,670.32,505.19
O64,2022-04-09,C7601,S29,P218,5,5,794.4,272.85,109.8,Organic Rice,167.24,Grocery,C,South,Dallas,South,831.2,684.6
O65,2023-05-30,C893,S167,P7,1,20,30.6,9.39,26.51,Floor Lamp,38.25,Home,B,Midwest,Chicago,West,18.25,4.09
O66,2022-12-19,C3794,S132,P395,5,20,1054.46,366.58,171.97,Smartphone,263.62,Electronics,C,East,New York,South,1298.1,882.49
O67,2023-06-01,C3878,S115,P497,3,10,804.34,296.22,188.19,Cookware Set,297.9,Home,C,Midwest,Chicago,East,883.7,616.15
O68,2023-05-30,C4281,S136,P73,2,20,272.5,83.71,117.995,Olive Oil,170.31,Grocery,C,South,Dallas,Midwest,320.62,154.5
O69,2022-10-30,C6126,S47,P65,3,5,220.11,73.77,51.35,Cap,77.23,Apparel,C,Midwest,Chicago,South,226.69,168.76
O70,2024-09-20,C4312,S173,P285,2,0,520.72,134.68,193.02,Floor Lamp,260.36,Home,B,Midwest,Chicago,South,520.72,327.7
O71,2022-12-11,C2994,S58,P283,5,5,804.91,247.93,117.26,WiFi Router,169.46,Electronics,C,West,San Jose,,842.3,687.65
O72,2022-09-26,C3615,S101,P242,4,20,681.86,187.3,154.55,Hoodie,213.08,Apparel,C,East,New York,West,832.32,527.31
O73,2023-07-08,C4472,S126,P153,3,20,312.72,76.44,98.45,Bluetooth Speaker,130.3,Electronics,B,Midwest,Chicago,West,370.9,214.27
O74,2023-10-03,C3871,S80,P106,1,5,70.14,12.6,60.57,Curtains,73.83,Home,A,South,Dallas,South,68.83,9.57
O75,2023-09-11,C1553,S26,P190,2,20,198.67,34.21,102.79,Shorts,124.17,Apparel,C,East,New York,Midwest,228.34,95.88
O76,2023-05-08,C6892,S75,P364,1,10,94.42,16.64,86.42,Blender,104.91,Home,B,West,San Jose,South,94.91,8
O77,2023-10-13,C6709,S31,P7,4,0,128.63,22.59,26.51,Floor Lamp,32.16,Home,B,Midwest,Chicago,Midwest,128.64,102.12
O78,2023-08-29,C6459,S152,P195,3,10,128.74,31.35,36.07,T-Shirt,47.68,Apparel,C,Midwest,Chicago,South,133.04,92.67
O79,2022-08-07,C566,S152,P407,5,20,591.16,190.54,100.155,Dress,147.79,Apparel,C,Midwest,Chicago,West,718.95,491
O80,2022-08-21,C1860,S62,P454,3,20,302.54,95.13,86.42,Cookware Set,126.06,Home,C,South,Dallas,West,358.18,216.12
O81,2022-01-30,C755,S6,P384,1,5,139.34,27.24,117.995,Fruit Juice,146.67,Grocery,C,East,New York,South,141.67,21.34
O82,2022-11-05,C4913,S153,P254,3,10,496.15,151.42,127.68,Smartwatch,183.76,Electronics,C,Midwest,Chicago,West,541.28,368.47
O83,2024-01-22,C4347,S134,P259,1,20,9.8,1.78,10.02,Pasta Pack,12.24,Grocery,A,West,San Jose,South,-7.76,-0.22
O84,2022-04-29,C3001,S146,P302,2,20,444.26,132.87,194.62,Laptop,277.66,Electronics,C,West,San Jose,West,535.32,249.64
O85,2024-07-29,C1798,S131,P65,4,10,266.85,81.99,51.35,Cap,74.13,Apparel,C,Midwest,Chicago,West,286.52,215.5
O86,2022-08-08,C962,S41,P85,2,5,255.07,68.01,98.45,Bluetooth Speaker,134.25,Electronics,B,West,San Jose,South,263.5,156.62
O87,2024-08-09,C7207,S112,P7,3,20,81.5,17.87,26.51,Floor Lamp,33.96,Home,B,Midwest,Chicago,South,81.88,54.99
O88,2024-01-20,C7715,S188,P449,5,5,302.15,62.37,50.48,Cap,63.61,Apparel,A,South,Dallas,South,313.05,251.67
O89,2023-04-16,C3863,S185,P439,4,10,517.14,156.58,100.155,Formal Shirt,143.65,Apparel,A,East,New York,West,564.6,416.98
O90,2023-01-30,C3367,S195,P180,4,0,122.53,42.85,19.92,Winter Jacket,30.63,Apparel,C,West,San Jose,Midwest,122.52,102.61
O91,2024-09-12,C5874,S35,P82,5,5,498.77,139.9,75.55,Mattress Topper,105,Home,A,West,San Jose,,520,423.22
O92,2022-05-04,C4759,S54,P439,5,20,522.9,122.28,100.155,Formal Shirt,130.72,Apparel,A,East,New York,West,633.6,422.74
O93,2023-07-23,C6472,S66,P390,4,5,575.93,127.55,117.995,Yogurt Cup,151.56,Grocery,A,South,Dallas,East,601.24,457.93
O94,2023-09-06,C1687,S50,P435,1,10,80.08,15.45,71.81,Smartphone,88.98,Electronics,A,Midwest,Chicago,South,78.98,8.27
O95,2023-08-07,C1360,S169,P389,1,20,185.86,68.15,147.14,Formal Shirt,232.33,Apparel,C,East,New York,South,212.33,38.72
O96,2024-06-27,C2237,S139,P180,2,0,53.44,13.6,19.92,Winter Jacket,26.72,Apparel,C,East,New York,South,53.44,33.52
O97,2022-07-30,C2785,S133,P415,3,0,43.14,7.59,11.85,Eggs Pack,14.38,Grocery,C,West,San Jose,West,43.14,31.29
O98,2024-05-30,C6539,S110,P179,1,5,258.61,94.25,173.01,Yogurt Cup,272.22,Grocery,A,West,San Jose,South,267.22,85.6
O99,2024-06-12,C3185,S191,P120,4,0,913.91,245.39,167.13,Coffee Maker,228.48,Home,B,East,New York,West,913.92,746.78
O100,2023-07-27,C5818,S185,P480,2,20,185.31,47.04,86.42,Vacuum Cleaner,115.82,Home,A,East,New York,South,211.64,98.89
O101,2022-03-27,C5646,S105,P372,3,10,367.03,96.61,100.155,Winter Jacket,135.94,Apparel,B,South,Dallas,South,397.82,266.88
O102,2023-08-10,C7635,S66,P85,1,5,117.01,23.48,98.45,Bluetooth Speaker,123.17,Electronics,B,South,Dallas,Midwest,118.17,18.56
O103,2022-08-02,C6251,S104,P99,4,10,638.38,139.03,138.71,Curtains,177.33,Home,C,West,San Jose,West,699.32,499.67
O104,2023-04-18,C3503,S133,P252,4,20,825.41,221.34,188.77,Sweatpants,257.94,Apparel,A,West,San Jose,South,1011.76,636.64
O105,2022-03-15,C1709,S198,P158,1,20,114.6,20.21,117.995,Milk Carton,143.25,Grocery,C,Midwest,Chicago,South,123.25,-3.4
O106,2022-08-14,C6344,S142,P12,5,10,707.81,264.79,98.45,Laptop,157.29,Electronics,C,East,New York,East,776.45,609.36
O107,2022-07-16,C1642,S155,P310,1,20,119.56,40.8,98.45,Smartphone,149.45,Electronics,B,East,New York,Midwest,129.45,21.11
O108,2022-02-03,C769,S19,P41,2,0,100.87,33.35,33.76,Bluetooth Speaker,50.43,Electronics,C,East,New York,East,100.86,67.11
O109,2022-11-12,C2318,S46,P383,2,20,110.23,35.69,46.59,Sneakers,68.89,Apparel,C,Midwest,Chicago,Midwest,117.78,63.64
O110,2024-02-16,C611,S66,P299,5,0,775.99,275.22,100.155,T-Shirt,155.2,Apparel,A,South,Dallas,South,776,675.84
O111,2022-04-10,C6555,S98,P397,3,20,369.22,128.85,100.155,Jeans,153.84,Apparel,C,Midwest,Chicago,East,441.52,269.07
O112,2022-12-17,C7419,S123,P114,5,0,663.89,231.79,86.42,Mattress Topper,132.78,Home,C,West,San Jose,East,663.9,577.47
O113,2023-04-18,C5458,S59,P198,4,5,663.89,215.51,117.995,Eggs Pack,174.71,Grocery,A,South,Dallas,Midwest,693.84,545.9
O114,2022-05-02,C369,S46,P389,2,20,328.39,92.97,147.14,Formal Shirt,205.24,Apparel,C,Midwest,Chicago,East,390.48,181.25
O115,2022-02-28,C2980,S130,P408,4,20,598.03,220.45,117.995,Spice Mix,186.88,Grocery,A,East,New York,West,727.52,480.04
O116,2023-09-28,C3841,S26,P340,3,10,415.39,96.81,117.995,Almonds,153.85,Grocery,C,East,New York,South,451.55,297.4
O117,2022-06-10,C6293,S125,P239,1,0,106.65,20.23,86.42,Blender,106.65,Home,A,South,Dallas,Midwest,106.65,20.23
O118,2024-05-03,C7905,S119,P346,4,5,515.49,187.09,86.42,Air Purifier,135.66,Home,B,East,New York,Midwest,537.64,429.07
O119,2022-01-05,C6694,S150,P217,5,10,537.2,94.17,98.45,WiFi Router,119.38,Electronics,B,West,San Jose,South,586.9,438.75
O120,2024-02-12,C514,S8,P475,5,10,583.78,133.08,100.155,Cap,129.73,Apparel,B,Midwest,Chicago,South,638.65,483.62
O121,2023-05-28,C3100,S122,P441,5,10,555.59,104.89,100.155,Sweatpants,123.46,Apparel,C,East,New York,East,607.3,455.44
O122,2024-05-25,C3364,S70,P139,4,0,519.86,174.18,86.42,Dish Rack,129.97,Home,C,South,Dallas,West,519.88,433.44
O123,2023-02-10,C6878,S126,P336,4,10,370.51,133.77,65.76,WiFi Router,102.92,Electronics,C,Midwest,Chicago,West,401.68,304.75
O124,2024-01-24,C2742,S132,P227,4,20,379.94,64.9,98.45,Smartphone,118.73,Electronics,A,East,New York,East,454.92,281.49
O125,2024-09-22,C3625,S190,P40,3,10,461.59,157.98,112.45,Formal Shirt,170.96,Apparel,A,West,San Jose,South,502.88,349.14
O126,2022-10-09,C6993,S113,P464,3,10,390.62,120.2,100.155,Formal Shirt,144.67,Apparel,C,West,San Jose,Midwest,424.01,290.47
O127,2022-09-17,C192,S198,P186,2,20,273.61,69.53,127.55,LED Monitor,171.01,Electronics,A,Midwest,Chicago,South,322.02,146.06
O128,2023-07-27,C5938,S69,P347,5,20,63.89,21.53,10.59,Eggs Pack,15.97,Grocery,B,West,San Jose,Midwest,59.85,53.3
O129,2022-12-07,C7188,S6,P121,4,10,408.19,97.08,86.42,Blender,113.39,Home,A,East,New York,South,443.56,321.77
O130,2024-03-02,C7928,S123,P268,1,10,140.83,52.22,98.45,Wireless Earbuds,156.47,Electronics,B,West,San Jose,South,146.47,42.38
O131,2024-08-05,C3300,S148,P96,2,0,236.53,44.71,95.91,Tablet,118.27,Electronics,A,East,New York,West,236.54,140.62
O132,2024-09-26,C6064,S134,P21,3,0,571.65,171.96,133.23,Sneakers,190.55,Apparel,B,West,San Jose,East,571.65,438.42
O133,2024-09-17,C6577,S70,P44,3,0,560.14,129.73,143.47,T-Shirt,186.71,Apparel,C,South,Dallas,South,560.13,416.67
O134,2024-04-10,C5787,S65,P429,1,10,96,18.22,86.42,Coffee Maker,106.67,Home,B,West,San Jose,,96.67,9.58
O135,2023-02-22,C2957,S132,P117,5,20,682.08,210.1,117.995,Spice Mix,170.52,Grocery,B,East,New York,East,832.6,564.08
O136,2024-07-01,C2386,S101,P239,3,20,272.5,65.09,86.42,Blender,113.54,Home,A,East,New York,Midwest,320.62,186.08
O137,2024-06-03,C3537,S190,P19,2,5,593.59,215.03,199.24,Hoodie,312.41,Apparel,A,West,San Jose,South,619.82,394.35
O138,2022-07-21,C6735,S146,P317,4,10,490.49,143.88,96.28,Sweatpants,136.25,Apparel,A,West,San Jose,South,535,394.21
O139,2023-12-27,C7822,S194,P294,3,0,409.62,150.36,86.42,Cookware Set,136.54,Home,B,Midwest,Chicago,Midwest,409.62,323.2
O140,2023-10-06,C4007,S111,P22,4,0,583.09,111.11,117.995,Milk Carton,145.77,Grocery,C,East,New York,West,583.08,465.1
O141,2023-02-06,C2449,S132,P134,5,20,498.66,152.98,86.42,Mattress Topper,124.66,Home,B,East,New York,West,603.3,412.24
O142,2023-06-15,C1608,S60,P441,1,20,124.99,44.87,100.155,Sweatpants,156.24,Apparel,C,West,San Jose,East,136.24,24.83
O143,2023-04-03,C7063,S167,P190,3,20,318.66,71.96,102.79,Shorts,132.77,Apparel,C,Midwest,Chicago,South,378.31,215.87
O144,2022-01-24,C7748,S88,P342,2,20,435.91,144.07,182.4,Peanut Butter,272.44,Grocery,B,West,San Jose,,524.88,253.51
O145,2024-01-14,C3305,S135,P240,3,20,251.91,50.98,83.72,Shorts,104.96,Apparel,B,West,San Jose,East,294.88,168.19
O146,2023-10-14,C6931,S179,P277,1,5,192.04,45.02,154.76,Cap,202.15,Apparel,A,East,New York,West,197.15,37.28
O147,2024-08-02,C777,S55,P291,1,5,99.19,34.96,67.61,Cookware Set,104.41,Home,A,Midwest,Chicago,South,99.41,31.58
O148,2023-09-05,C5280,S150,P266,3,0,541.95,106.68,145.09,LED Monitor,180.65,Electronics,B,West,San Jose,South,541.95,396.86
O149,2023-05-26,C3368,S128,P228,1,10,134.37,44.23,100.155,Hoodie,149.3,Apparel,A,Midwest,Chicago,West,139.3,34.22
O150,2023-05-17,C4741,S16,P388,1,20,145.59,51.2,117.995,Spice Mix,181.99,Grocery,A,East,New York,South,161.99,27.6
O151,2024-04-18,C3500,S68,P20,4,0,974.84,208.16,191.67,Milk Carton,243.71,Grocery,B,West,San Jose,East,974.84,783.17
O152,2023-03-28,C4349,S187,P137,5,5,1480.9,554.98,194.93,Toaster,311.77,Home,A,West,San Jose,East,1553.85,1285.97
O153,2023-04-19,C1745,S110,P476,3,10,439.36,120.77,117.995,Almonds,162.73,Grocery,A,West,San Jose,West,478.19,321.36
O154,2024-06-17,C2148,S158,P66,4,5,489.73,115.62,98.45,Laptop,128.88,Electronics,C,South,Dallas,South,510.52,391.28
O155,2022-05-01,C7101,S115,P283,5,5,813.47,256.48,117.26,WiFi Router,171.26,Electronics,C,Midwest,Chicago,Midwest,851.3,696.21
O156,2022-09-09,C6056,S21,P219,4,10,408.14,97.03,86.42,Floor Lamp,113.37,Home,C,East,New York,South,443.48,321.72
O157,2024-08-28,C2138,S68,P455,1,10,161.48,41.38,133.45,Fruit Juice,179.42,Grocery,C,West,San Jose,East,169.42,28.03
O158,2022-07-24,C1525,S160,P17,4,10,460.94,106.52,98.45,Bluetooth Speaker,128.04,Electronics,B,West,San Jose,West,502.16,362.49
O159,2022-06-08,C3467,S158,P319,1,0,130.46,30.31,100.155,Hoodie,130.46,Apparel,C,South,Dallas,South,130.46,30.31
O160,2024-07-09,C1067,S155,P485,5,20,593.92,200.12,98.45,Smartwatch,148.48,Electronics,C,East,New York,South,722.4,495.47
O161,2024-07-21,C2014,S91,P435,4,10,314.32,55.81,71.81,Smartphone,87.31,Electronics,A,West,San Jose,South,339.24,242.51
O162,2022-01-31,C3605,S152,P329,5,0,624.81,192.71,86.42,Air Purifier,124.96,Home,A,Midwest,Chicago,South,624.8,538.39
O163,2024-04-03,C1474,S174,P237,2,5,362.08,65.42,156.14,Coffee Maker,190.57,Home,C,South,Dallas,South,376.14,205.94
O164,2022-08-09,C765,S142,P499,3,0,395.9,95.44,100.155,Dress,131.97,Apparel,B,East,New York,South,395.91,295.74
O165,2023-11-12,C7760,S136,P71,1,20,142.83,48.44,117.995,Spice Mix,178.54,Grocery,C,South,Dallas,South,158.54,24.84
O166,2022-11-05,C4328,S31,P400,1,5,119.54,37.44,86.42,Blender,125.83,Home,C,Midwest,Chicago,East,120.83,33.12
O167,2022-11-01,C4347,S73,P362,4,5,545.19,164.6,100.155,Jeans,143.47,Apparel,B,West,San Jose,South,568.88,445.04
O168,2023-09-07,C3662,S52,P300,5,5,544.88,155.85,81.9,Sweatpants,114.71,Apparel,A,Midwest,Chicago,Midwest,568.55,462.98
O169,2022-08-31,C4311,S26,P191,1,5,124.75,42.65,86.42,Vacuum Cleaner,131.32,Home,B,East,New York,Midwest,126.32,38.33
O170,2024-02-23,C4220,S35,P223,3,5,654.21,225.31,150.49,Organic Rice,229.55,Grocery,B,West,San Jose,South,683.65,503.72
O171,2023-06-01,C2812,S47,P445,3,10,588.9,197.67,144.9,Hoodie,218.11,Apparel,A,Midwest,Chicago,East,644.33,444
O172,2022-12-11,C7415,S86,P302,1,5,242.55,57.66,194.62,Laptop,255.32,Electronics,C,West,San Jose,Midwest,250.32,47.93
O173,2024-01-16,C5953,S158,P168,3,10,118.1,42.04,28.17,Coffee Maker,43.74,Home,B,South,Dallas,West,121.22,89.93
O174,2023-11-23,C6547,S86,P7,3,10,103.44,31.87,26.51,Floor Lamp,38.31,Home,B,West,San Jose,West,104.93,76.93
O175,2024-01-25,C249,S130,P292,2,10,338.02,75.54,145.82,Smartphone,187.79,Electronics,A,East,New York,Midwest,365.58,192.2
O176,2022-09-01,C7515,S85,P13,4,20,474.44,136.62,105.57,Dress,148.26,Apparel,C,Midwest,Chicago,Midwest,573.04,368.87
O177,2023-09-08,C5716,S198,P478,2,10,303.42,91.03,117.995,Peanut Butter,168.57,Grocery,B,Midwest,Chicago,East,327.14,185.42
O178,2024-05-29,C507,S129,P387,2,5,228.61,64.41,86.42,Mattress Topper,120.32,Home,B,West,San Jose,South,235.64,142.19
O179,2023-04-03,C6288,S115,P321,4,20,490.81,170.31,100.155,Jeans,153.38,Apparel,C,Midwest,Chicago,West,593.52,390.66
O180,2023-01-14,C2325,S181,P60,2,5,227.56,40.5,98.45,WiFi Router,119.77,Electronics,C,Midwest,Chicago,East,234.54,129.11
O181,2024-01-25,C4807,S63,P247,5,20,528.08,182.4,86.42,Air Purifier,132.02,Home,C,East,New York,South,640.1,441.66
O182,2023-12-29,C2334,S84,P457,3,10,574.98,178.24,146.94,Blender,212.95,Home,B,South,Dallas,South,628.85,428.04
O183,2023-04-18,C7343,S67,P472,1,20,87.2,18.07,86.42,Mattress Topper,109.01,Home,C,South,Dallas,South,89.01,0.78
O184,2024-03-18,C3455,S168,P432,4,0,700.08,228.1,117.995,Pasta Pack,175.02,Grocery,A,South,Dallas,West,700.08,582.08
O185,2022-12-18,C7386,S7,P476,2,20,270.5,81.71,117.995,Almonds,169.06,Grocery,A,South,Dallas,South,318.12,152.5
O186,2023-01-20,C2466,S31,P400,2,5,235.91,71.71,86.42,Blender,124.16,Home,C,Midwest,Chicago,,243.32,149.49
O187,2023-01-05,C1616,S16,P482,3,10,439.18,81.91,132.32,Olive Oil,162.66,Grocery,C,East,New York,South,477.98,306.86
O188,2022-10-10,C845,S127,P464,1,0,140.31,40.15,100.155,Formal Shirt,140.31,Apparel,C,Midwest,Chicago,Midwest,140.31,40.16
O189,2023-07-24,C1971,S74,P180,3,10,79.08,25.29,19.92,Winter Jacket,29.29,Apparel,C,West,San Jose,West,77.87,59.16
O190,2024-03-31,C1534,S31,P217,5,5,573.29,105.65,98.45,WiFi Router,120.69,Electronics,B,Midwest,Chicago,South,598.45,474.84
O191,2023-12-18,C7950,S195,P212,4,0,556.72,156.1,100.155,Dress,139.18,Apparel,A,West,San Jose,South,556.72,456.57
O192,2024-02-16,C63,S77,P411,5,0,826.59,222.69,120.78,Tablet,165.32,Electronics,C,Midwest,Chicago,South,826.6,705.81
O193,2022-10-28,C1645,S20,P242,1,10,183.58,44.48,154.55,Hoodie,203.98,Apparel,C,East,New York,South,193.98,29.03
O194,2024-02-24,C1299,S23,P320,5,20,353.96,87.2,66.69,Curtains,88.49,Home,B,West,San Jose,South,422.45,287.27
